,customer_id,product_id,activation_date,termination_date,distribution_channel,status
0,0.0,5.0,2022-02-25,2022-03-27 00:00:00,physical_store,active
1,3.0,5.0,2022-02-20,2022-03-22 00:00:00,online,active
2,5.0,5.0,2022-02-11,2022-03-13 00:00:00,physical_store,active
3,6.0,5.0,2022-02-24,2022-03-26 00:00:00,physical_store,active
4,9.0,5.0,2022-02-18,2022-03-20 00:00:00,physical_store,active
5,10.0,5.0,2022-02-05,2022-03-07 00:00:00,physical_store,active
6,12.0,5.0,2022-02-27,2022-03-29 00:00:00,physical_store,active
7,13.0,5.0,2022-02-06,2022-03-08 00:00:00,physical_store,active
8,18.0,5.0,2022-02-06,2022-03-08 00:00:00,physical_store,active
9,21.0,5.0,2022-02-21,2022-03-23 00:00:00,physical_store,active
10,22.0,5.0,2022-02-15,2022-03-17 00:00:00,physical_store,active
11,23.0,5.0,2022-02-16,2022-03-18 00:00:00,physical_store,active
12,24.0,5.0,2022-02-15,2022-03-17 00:00:00,physical_store,active
13,25.0,5.0,2022-02-17,2022-03-19 00:00:00,physical_store,active
14,26.0,5.0,2022-02-17,2022-03-19 00:00:00,physical_store,active
15,27.0,5.0,2022-02-08,2022-03-10 00:00:00,physical_store,active
16,29.0,5.0,2022-02-14,2022-03-16 00:00:00,physical_store,active
17,35.0,5.0,2022-02-20,2022-03-22 00:00:00,physical_store,active
18,38.0,5.0,2022-02-19,2022-03-21 00:00:00,physical_store,active
19,40.0,5.0,2022-02-15,2022-03-17 00:00:00,physical_store,active
20,42.0,5.0,2022-02-14,2022-03-16 00:00:00,physical_store,active
21,45.0,5.0,2022-02-15,2022-03-17 00:00:00,physical_store,active
22,46.0,5.0,2022-02-01,2022-03-03 00:00:00,physical_store,active
23,0.0,5.0,2022-02-10,2022-03-12 00:00:00,physical_store,active
24,3.0,5.0,2022-02-23,2022-03-25 00:00:00,physical_store,active
25,5.0,5.0,2022-02-11,2022-03-13 00:00:00,physical_store,active
26,6.0,5.0,2022-02-04,2022-03-06 00:00:00,physical_store,active
27,9.0,5.0,2022-02-26,2022-03-28 00:00:00,physical_store,active
28,10.0,5.0,2022-02-08,2022-03-10 00:00:00,physical_store,active
29,12.0,5.0,2022-02-17,2022-03-19 00:00:00,physical_store,active
30,13.0,5.0,2022-02-05,2022-03-07 00:00:00,online,active
31,18.0,5.0,2022-02-18,2022-03-20 00:00:00,online,active
32,21.0,5.0,2022-02-06,2022-03-08 00:00:00,physical_store,active
33,22.0,5.0,2022-02-03,2022-03-05 00:00:00,physical_store,active
34,23.0,24.0,2022-02-11,2022-11-10 00:00:00,online,active
35,24.0,24.0,2022-02-13,2022-07-24 00:00:00,physical_store,active
36,25.0,0.0,2022-02-20,2022-06-21 00:00:00,online,active
37,26.0,0.0,2022-02-16,2022-09-26 00:00:00,physical_store,active
38,27.0,24.0,2022-02-02,2022-06-28 00:00:00,physical_store,active
39,29.0,0.0,2022-02-03,2022-05-19 00:00:00,online,active
40,35.0,24.0,2022-02-05,2022-06-08 00:00:00,online,active
41,38.0,0.0,2022-02-27,2022-11-20 00:00:00,physical_store,active
42,40.0,0.0,2022-02-12,2022-06-08 00:00:00,physical_store,active
43,42.0,0.0,2022-02-19,2022-06-16 00:00:00,physical_store,active
44,45.0,0.0,2022-02-23,2022-09-24 00:00:00,physical_store,active
45,46.0,0.0,2022-02-03,2022-06-18 00:00:00,physical_store,active
46,0.0,0.0,2022-02-23,2022-07-23 00:00:00,physical_store,active
47,3.0,0.0,2022-02-02,2022-09-10 00:00:00,physical_store,active
48,5.0,24.0,2022-02-15,2022-10-17 00:00:00,physical_store,active
49,6.0,0.0,2022-02-05,2022-06-26 00:00:00,physical_store,active
50,9.0,0.0,2022-02-16,2022-07-19 00:00:00,physical_store,active
51,10.0,0.0,2022-02-20,2022-11-07 00:00:00,physical_store,active
52,12.0,0.0,2022-02-08,2022-05-26 00:00:00,physical_store,active
53,13.0,24.0,2022-02-09,2022-09-23 00:00:00,online,active
54,18.0,0.0,2022-02-02,2022-06-30 00:00:00,physical_store,active
55,21.0,0.0,2022-02-07,2022-08-27 00:00:00,physical_store,active
56,22.0,0.0,2022-02-10,2022-09-29 00:00:00,physical_store,active
57,23.0,0.0,2022-02-15,2022-11-10 00:00:00,physical_store,active
58,24.0,0.0,2022-02-04,2022-06-09 00:00:00,physical_store,active
59,25.0,0.0,2022-02-20,2022-10-19 00:00:00,online,active
60,26.0,24.0,2022-02-21,2022-12-15 00:00:00,online,active
61,27.0,0.0,2022-02-11,2022-07-01 00:00:00,online,active
62,29.0,0.0,2022-02-22,2022-06-02 00:00:00,physical_store,active
63,35.0,0.0,2022-02-12,2022-11-26 00:00:00,physical_store,active
64,38.0,24.0,2022-02-17,2022-09-27 00:00:00,physical_store,active
65,40.0,0.0,2022-02-02,2022-11-01 00:00:00,physical_store,active
66,42.0,0.0,2022-02-26,2022-11-22 00:00:00,physical_store,active
67,45.0,0.0,2022-02-09,2022-11-15 00:00:00,physical_store,active
68,46.0,0.0,2022-02-14,2022-08-08 00:00:00,physical_store,active
69,0.0,24.0,2022-02-12,2022-07-06 00:00:00,physical_store,active
70,3.0,24.0,2022-02-27,2022-10-08 00:00:00,physical_store,active
71,5.0,24.0,2022-02-19,2022-09-08 00:00:00,physical_store,active
72,6.0,0.0,2022-02-06,2022-09-04 00:00:00,physical_store,active
73,9.0,0.0,2022-02-27,2022-07-29 00:00:00,physical_store,active
74,10.0,24.0,2022-02-08,2022-06-19 00:00:00,physical_store,active
75,12.0,0.0,2022-02-26,2022-12-22 00:00:00,physical_store,active
76,13.0,0.0,2022-02-12,2022-07-09 00:00:00,physical_store,active
77,18.0,0.0,2022-02-10,2022-11-20 00:00:00,online,active
78,21.0,0.0,2022-02-22,2022-11-25 00:00:00,physical_store,active
79,22.0,24.0,2022-02-21,2022-08-09 00:00:00,physical_store,active
80,23.0,0.0,2022-02-21,2022-07-14 00:00:00,online,active
81,24.0,24.0,2022-02-18,2022-12-09 00:00:00,physical_store,active
82,25.0,0.0,2022-02-13,2022-06-24 00:00:00,physical_store,active
83,26.0,0.0,2022-02-12,2022-05-16 00:00:00,physical_store,active
84,27.0,24.0,2022-02-24,2022-12-07 00:00:00,physical_store,active
85,29.0,0.0,2022-02-20,2022-10-28 00:00:00,physical_store,active
86,35.0,0.0,2022-02-20,2022-10-05 00:00:00,physical_store,active
87,38.0,0.0,2022-02-25,2022-09-09 00:00:00,physical_store,active
88,40.0,0.0,2022-02-07,2022-05-15 00:00:00,physical_store,active
89,42.0,0.0,2022-02-04,2022-10-26 00:00:00,physical_store,active
90,45.0,24.0,2022-02-09,2022-08-19 00:00:00,physical_store,active
91,46.0,24.0,2022-02-22,2022-08-24 00:00:00,physical_store,active
92,0.0,0.0,2022-02-02,2022-11-02 00:00:00,physical_store,active
93,3.0,24.0,2022-02-11,2022-08-16 00:00:00,physical_store,active
94,5.0,0.0,2022-02-12,2022-06-28 00:00:00,physical_store,active
95,6.0,0.0,2022-02-11,2022-05-27 00:00:00,physical_store,active
96,9.0,0.0,2022-02-18,2022-10-26 00:00:00,physical_store,active
