,business_product_instance_id,cost,duration,number_of_sms,total_volume,event_type,event_id,date,direction,calling_msisdn,called_msisdn,roaming
34,24.0,0.0,60,0.0,0.0,call,0,2022-03-06,outcoming,-1,-1,False
35,24.0,0.0,73,0.0,0.0,call,1,2022-03-24,outcoming,-1,-1,False
38,24.0,0.0,52,0.0,0.0,call,2,2022-03-11,outcoming,-1,-1,False
40,24.0,0.0,89,0.0,0.0,call,3,2022-03-16,outcoming,-1,-1,False
48,24.0,0.0,41,0.0,0.0,call,4,2022-03-03,outcoming,-1,-1,False
53,24.0,0.0,18,0.0,0.0,call,5,2022-03-30,outcoming,-1,-1,False
60,24.0,0.0,54,0.0,0.0,call,6,2022-03-22,outcoming,-1,-1,True
64,24.0,0.0,86,0.0,0.0,call,7,2022-03-02,outcoming,-1,-1,False
69,24.0,0.0,79,0.0,0.0,call,8,2022-03-12,outcoming,-1,-1,False
70,24.0,0.0,27,0.0,0.0,call,9,2022-03-19,outcoming,-1,-1,False
71,24.0,0.0,97,0.0,0.0,call,10,2022-03-07,outcoming,-1,-1,False
74,24.0,0.0,31,0.0,0.0,call,11,2022-03-25,outcoming,-1,-1,False
79,24.0,0.0,90,0.0,0.0,call,12,2022-03-14,outcoming,-1,-1,False
81,24.0,0.0,55,0.0,0.0,call,13,2022-03-29,outcoming,-1,-1,False
84,24.0,0.0,22,0.0,0.0,call,14,2022-03-18,outcoming,-1,-1,False
90,24.0,0.0,43,0.0,0.0,call,15,2022-03-12,outcoming,-1,-1,False
91,24.0,0.0,78,0.0,0.0,call,16,2022-03-15,outcoming,-1,-1,False
93,24.0,0.0,72,0.0,0.0,call,17,2022-03-18,outcoming,-1,-1,True
98,24.0,0.0,55,0.0,0.0,call,18,2022-03-17,outcoming,-1,-1,True
99,24.0,0.0,41,0.0,0.0,call,19,2022-03-24,outcoming,-1,-1,False
100,24.0,0.0,73,0.0,0.0,call,20,2022-03-20,outcoming,-1,-1,False
101,24.0,0.0,4,0.0,0.0,call,21,2022-03-26,outcoming,-1,-1,False
103,24.0,0.0,54,0.0,0.0,call,22,2022-03-19,outcoming,-1,-1,False
105,24.0,0.0,16,0.0,0.0,call,23,2022-03-28,outcoming,-1,-1,False
107,24.0,0.0,39,0.0,0.0,call,24,2022-03-26,outcoming,-1,-1,False
111,24.0,0.0,42,0.0,0.0,call,25,2022-03-12,outcoming,-1,-1,False
112,24.0,0.0,73,0.0,0.0,call,26,2022-03-28,outcoming,-1,-1,False
119,24.0,0.0,44,0.0,0.0,call,27,2022-03-30,outcoming,-1,-1,False
121,24.0,0.0,3,0.0,0.0,call,28,2022-03-24,outcoming,-1,-1,False
122,24.0,0.0,94,0.0,0.0,call,29,2022-03-02,outcoming,-1,-1,False
124,24.0,0.0,64,0.0,0.0,call,30,2022-03-11,outcoming,-1,-1,False
125,24.0,0.0,18,0.0,0.0,call,31,2022-03-15,outcoming,-1,-1,False
128,24.0,0.0,38,0.0,0.0,call,32,2022-03-07,outcoming,-1,-1,False
